Replicates	thresholds
Basal.plate_1	0.18
Basal.plate_3	0.16
Bulb_1	0.16
Bulb_2	0.16
Bulb_3	0.14
Dark3_1	0.16
Dark3_3	0.16
Dark4_1	0.16
Dark4_2	0.16
Dark4_3	0.16
Leaves_1	0.16
Leaves_2	0.18
Leaves_3	0.16
Light3_1	0.16
Light3_2	0.16
Light3_3	0.14
Light4_1	0.16
Light4_2	0.16
Light4_3	0.16
Root_1	0.16
Root_3	0.16
