from	to	r	t	p.value	FDR	significant	group
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN11751_c0_g2	0.8918188944052242	4.828773195448353	0.0014569494941351964	0.0061571646763412605	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN120448_c0_g2	0.895579501672965	4.930782970104332	0.0013140733913548231	0.005801460674518386	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN124400_c0_g1	0.9680243669196158	9.45229142748868	3.9892720587835444e-5	8.315732589202364e-4	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN1271_c0_g2	0.9615257839273464	8.573431047480993	6.915162960792916e-5	0.0010529087255955127	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN136745_c0_g1	0.9873187402207984	15.23414349384162	2.5249772438283814e-6	1.7684940615773985e-4	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN14164_c0_g2	0.9139956702822801	5.518094457613945	7.447800204178731e-4	0.00409181271990778	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN19773_c0_g1	0.8993336045230469	5.03794661944851	0.0011808209703385172	0.005431569664788293	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN215855_c0_g1	0.867849583931203	4.278729854532309	0.0026064357145710332	0.009025449445380116	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN22770_c0_g1	0.9346739585326959	6.4400420614545135	3.31622722461866e-4	0.0025617855310179146	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN27431_c0_g1	0.97649079667951	11.096280469622547	1.5956390198587147e-5	5.0989501779566e-4	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN28181_c0_g1	0.9198922298714698	5.745619063452204	6.046011813664714e-4	0.0036505402364575565	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN32211_c0_g1	0.9442779876183398	7.027209725517406	2.0732966433976318e-4	0.0019384176440253988	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN32976_c0_g4	0.9090373717771757	5.343411834594473	8.777878699671069e-4	0.00454645537634141	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN38320_c0_g1	0.9808801915796167	12.345842058206623	8.612157787141798e-6	3.533795935200849e-4	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN38404_c1_g3	0.9454645248055468	7.110000880330393	1.945415822247198e-4	0.0018714404369486342	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN3859_c3_g1	0.9335451479275662	6.379262082105268	3.488100593127004e-4	0.0026440104495954043	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN38715_c1_g1	0.9519369748786682	7.61281672708324	1.3383051327052863e-4	0.0015493055790356525	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN42823_c0_g1	0.8799984596449734	4.538218272089613	0.0019703390979990965	0.007475663673422909	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN4559_c1_g1	0.9486757568874871	7.3478851550507915	1.625580481551486e-4	0.0017352995683101306	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN4674_c4_g1	0.9311875086946068	6.257010794176386	3.8656652653744545e-4	0.0028400475019597217	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN5191_c1_g1	0.9372358457041707	6.583812083215152	2.946957381029455e-4	0.0024112721374684935	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN52367_c1_g1	0.995913774913411	27.012534459136536	8.502466879600703e-8	1.71782532763625e-5	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN524070_c0_g1	0.9133871706095492	5.495889479316082	7.60342717397366e-4	0.004145486008726688	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN542917_c0_g1	0.9442779876183398	7.027209725517406	2.0732966433976318e-4	0.0019384176440253988	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN563535_c0_g1	0.9120557228861758	5.448073197117365	7.951300260720994e-4	0.0042774089295703225	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN5644_c0_g1	0.889048544123165	4.756779699629351	0.001568379091525902	0.006476961767127015	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN59727_c1_g1	0.9235578285667404	5.899573116847775	5.268313640313496e-4	0.003355614024345177	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN66503_c5_g1	0.8659615173684431	4.241389189579848	0.0027157201724173257	0.009274426994521448	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN70792_c0_g2	0.9832725183148667	13.223397336469477	5.777463435733476e-6	2.8903824217055193e-4	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN73626_c1_g1	0.9133711426824219	5.495307620234771	7.607554754259523e-4	0.004145486008726688	TRUE	0
Crpow_TRINITY_DN10162_c0_g2	Crpow_TRINITY_DN74441_c0_g1	0.9061561754573374	5.24803339648999	9.617184080698335e-4	0.004793080453122234	TRUE	0
