from	to	r	t	p.value	FDR	significant	group
Crpow_TRINITY_DN10028_c0_g1	Crpow_TRINITY_DN202860_c0_g1	0.9517807827403411	7.599533959714156	1.3512339864028326e-4	0.00796239618138906	TRUE	0
Crpow_TRINITY_DN10028_c0_g1	Crpow_TRINITY_DN2190_c0_g1	0.9607759493937025	8.486088220490032	7.323232156271827e-5	0.007005892096166715	TRUE	0
Crpow_TRINITY_DN10028_c0_g1	Crpow_TRINITY_DN3356_c0_g1	0.9773192435014618	11.304332179743769	1.433724015567589e-5	0.00488631066055629	TRUE	0
Crpow_TRINITY_DN10028_c0_g1	Crpow_TRINITY_DN4898_c0_g1	0.9627245183330452	8.718391190692541	6.294461253714728e-5	0.006807140561625986	TRUE	0
Crpow_TRINITY_DN10028_c0_g1	Crpow_TRINITY_DN8741_c1_g1	0.9578283316580009	8.165177092698432	9.081004061496713e-5	0.007363174591855542	TRUE	0
Crpow_TRINITY_DN10049_c1_g1	Crpow_TRINITY_DN10627_c0_g1	0.9791952098138259	11.820039277397967	1.1081503731580802e-5	0.004533589485095309	TRUE	0
Crpow_TRINITY_DN10049_c1_g1	Crpow_TRINITY_DN11471_c0_g2	0.944313986756582	7.029683695719069	2.0693378656701166e-4	0.008914815676662953	TRUE	0
Crpow_TRINITY_DN10049_c1_g1	Crpow_TRINITY_DN11621_c0_g1	0.9527377142495377	7.681917955361745	1.2733014630561385e-4	0.007818368766962893	TRUE	0
Crpow_TRINITY_DN10049_c1_g1	Crpow_TRINITY_DN11820_c2_g1	0.9486965784487534	7.349498118021837	1.6236286727173822e-4	0.008363726705295175	TRUE	0
Crpow_TRINITY_DN10049_c1_g1	Crpow_TRINITY_DN13307_c0_g1	0.9627024649871109	8.715662607482717	6.305534195738983e-5	0.0068080937306504476	TRUE	0
Crpow_TRINITY_DN10049_c1_g1	Crpow_TRINITY_DN13328_c0_g1	0.9732402375445925	10.374437839490929	2.3474670702973557e-5	0.005410240497458041	TRUE	0
Crpow_TRINITY_DN10049_c1_g1	Crpow_TRINITY_DN13619_c0_g2	0.9863788428501554	14.688631356308713	3.1268332517863666e-6	0.003121944822336391	TRUE	0
Crpow_TRINITY_DN10049_c1_g1	Crpow_TRINITY_DN22777_c0_g1	0.9519305261671149	7.6122670715382625	1.3388373081699056e-4	0.007935521566794017	TRUE	0
