from	to	r	t	p.value	FDR	significant	group
Crpow_TRINITY_DN10812_c0_g2	Crpow_TRINITY_DN109241_c0_g1	0.9524079044601018	7.653250417184225	1.299817320417343e-4	3.4535741659532515e-4	TRUE	0
Crpow_TRINITY_DN10812_c0_g2	Crpow_TRINITY_DN10954_c0_g1	0.9533827452024134	7.738840425537568	1.2224771864906075e-4	3.3214953261175847e-4	TRUE	0
Crpow_TRINITY_DN10812_c0_g2	Crpow_TRINITY_DN10956_c0_g1	0.8969721175484358	4.969889213168799	0.0012635641493389561	0.0018373301954285662	TRUE	0
Crpow_TRINITY_DN10812_c0_g2	Crpow_TRINITY_DN11011_c12_g1	0.9666137378964442	9.240280496934869	4.536018455733654e-5	1.8382811636394282e-4	TRUE	0
Crpow_TRINITY_DN10812_c0_g2	Crpow_TRINITY_DN1113_c6_g1	0.9672615196831486	9.335965309595991	4.279178761187519e-5	1.7758769715218062e-4	TRUE	0
Crpow_TRINITY_DN10812_c0_g2	Crpow_TRINITY_DN11241_c3_g1	0.9592974867915794	8.320858337668607	8.173739053251925e-5	2.5630774497301285e-4	TRUE	0
Crpow_TRINITY_DN10812_c0_g2	Crpow_TRINITY_DN115208_c0_g1	0.9878370074102302	15.561458915384915	2.228748912860629e-6	4.083497813749778e-5	TRUE	0
Crpow_TRINITY_DN10812_c0_g2	Crpow_TRINITY_DN119701_c3_g1	0.9436326447867125	6.983251135141873	2.1451103624614188e-4	4.828949869629345e-4	TRUE	0
Crpow_TRINITY_DN10812_c0_g2	Crpow_TRINITY_DN1244_c3_g1	0.9255513205116984	5.987838542714586	4.874279918085696e-4	8.732343630621591e-4	TRUE	0
Crpow_TRINITY_DN10812_c0_g2	Crpow_TRINITY_DN12497_c0_g3	0.9698920183217217	9.75521799356714	3.335002301818759e-5	1.5425858703465567e-4	TRUE	0
Crpow_TRINITY_DN10812_c0_g2	Crpow_TRINITY_DN12631_c0_g1	0.9299665484209086	6.196055452319715	4.0712841855028035e-4	7.648508848574155e-4	TRUE	0
Crpow_TRINITY_DN10812_c0_g2	Crpow_TRINITY_DN13180_c1_g3	0.9420195246537219	6.876506339518235	2.331717026813134e-4	5.110689914955448e-4	TRUE	0
Crpow_TRINITY_DN10812_c0_g2	Crpow_TRINITY_DN133736_c0_g1	0.9664025938697924	9.209681651561999	4.6218843679509376e-5	1.8577420586431248e-4	TRUE	0
