gene_ID	var	rank
Crpow_TRINITY_DN8828_c0_g1	1.0667586182394861	133200
Crpow_TRINITY_DN33837_c7_g1	1.065673385598216	133199
Crpow_TRINITY_DN1089_c4_g1	1.0570142586152638	133198
Crpow_TRINITY_DN144732_c0_g1	1.0547488642702836	133197
Crpow_TRINITY_DN9274_c0_g1	1.0543813305976637	133196
Crpow_TRINITY_DN13666_c0_g1	1.0517358723117625	133195
Crpow_TRINITY_DN3512_c1_g1	1.0430009357991445	133194
Crpow_TRINITY_DN17919_c0_g1	1.0367388397707247	133193
Crpow_TRINITY_DN50623_c0_g2	1.0344412086075903	133192
Crpow_TRINITY_DN229252_c0_g2	1.0321065780863337	133191
Crpow_TRINITY_DN14613_c3_g1	1.0244989392730002	133190
Crpow_TRINITY_DN22846_c1_g1	1.0218988652680603	133189
Crpow_TRINITY_DN198140_c0_g1	1.0159826033101371	133188
Crpow_TRINITY_DN275_c0_g1	1.0076144214545582	133187
Crpow_TRINITY_DN38220_c1_g1	1.0048609645938842	133186
Crpow_TRINITY_DN20788_c0_g1	1.0008061847767953	133185
Crpow_TRINITY_DN6807_c0_g1	0.9997423420237673	133184
Crpow_TRINITY_DN9678_c0_g1	0.9983235526842439	133183
Crpow_TRINITY_DN13783_c0_g1	0.9939804535922568	133182
Crpow_TRINITY_DN15934_c0_g2	0.9912160439320048	133181
Crpow_TRINITY_DN1331_c0_g2	0.988025133850525	133180
Crpow_TRINITY_DN9540_c1_g1	0.9793890749269074	133179
Crpow_TRINITY_DN23949_c0_g1	0.973914151047092	133178
Crpow_TRINITY_DN21460_c0_g1	0.9712966018687649	133177
Crpow_TRINITY_DN107366_c0_g1	0.9702326692500127	133176
Crpow_TRINITY_DN60836_c0_g3	0.9682330682435539	133175
Crpow_TRINITY_DN2683_c1_g1	0.96520770808634	133174
Crpow_TRINITY_DN18131_c0_g1	0.9639258829397394	133173
Crpow_TRINITY_DN7503_c2_g2	0.9636510911723741	133172
Crpow_TRINITY_DN22753_c0_g1	0.9631112456781195	133171
